question,instruction,reference_response
Dear Dr. Kindly note I had unprotected Sex 29/06/2015 1,"If you are a doctor, please answer the medical questions based on the patient's description.","Hi there, After going through your query, I am of the opinion that"
"i have a wisdom tooth underneath my gum on the lower left side . I went years ago , to an oral surgeon who said it was very close to a facial nerve and i should put hot packs on my jaw. the pain went away but now its back, I have been putting hot packs, on my jaw, i see the dentist this week. im very nervous i dont want my face or jaw, or mouth to be numb what should i do?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi Dear, Welcome to Chat Doctor. Understanding your concern. Thanks for your query. This is very common condition when impacted tooth presses a nerve. This is the reason for pain. You should continue giving hot packs. Such impacted tooth should be removed otherwise they keep troubling you with on and off pain episodes. It requires very skillful and experienced oral surgeon as there is involvement of nerve. I would suggest you to consult oral surgeon (as there is already an appointment) for proper evaluation of condition. Doctor may take X-ray or CT scan to access the position of the tooth and may perform surgery under local anesthesia to remove the impacted tooth. For pain ibuprofen(if not allergic) or acetaminophen and do warm saline rinses. Hope your concern has been resolved. Best Wishes,"
"My daughter started developing intermittent swollen glands in her neck in middle school. She s had them off and on since (she is now 20), but now she finds that she also has intermittent swelling and tenderness in her armpit areas. What should be done?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for your query. Lump in this location can be enlarged lymph node, infected sebaceous cyst or ganglion cyst. Lymph node is usually movable and rounded. It is not quite soft, rather hard. Can be painful. Infected sebaceous cyst is a kind of benign soft tissues lesion. It tends to get infected. In such situation it becomes reddish, swollen and painful. Fever can be present as well. Ganglion cyst is connected with a joint (shoulder in this case) and filled with joint fluid. Pain is characteristic for this lesion especially when moving the limb. I suggest you to consult general surgeon with these issues. Soft tissues' ultrasound should be done to diagnose it. Cyst or ganglion can be removed. If it's a lymph node, biopsy should be done. I do hope that you have found something helpful, and I will be glad to answer any further query. Take care"
"Hello, I just got my results from an ulstra sound I had on my lower abdmonin the findings were as follows","If you are a doctor, please answer the medical questions based on the patient's description.",Hi. The mean dimensions of the kidneys upon maturation are
"hi, i am 28 yrs and trying to conceive since 2 years. i have premature ovulation problem. I am taking Ubiphene 50 (2 - 7 day of my period) and Ovacare forte and Obimet Sr also. i did thyroid tests and its normal tsh is 3.36. but Dr has prescribed Thyronorm 12.5 mg.. since 3 months am taking the tablets but still i dont know whats wrong. why am not conceiving? Pl help","If you are a doctor, please answer the medical questions based on the patient's description.","Hi Jimmy, I hope that your Doctor has ruled out male infertility. Whileyou are taking these Medicines, you must be doing test for ovulation to see the effects of these Medicines on your Ovulation. There are certain ways to confirm ovulation like trans-vaginal Follicular study, Home Ovulation test, and hormonal levels in your blood, besides some simple method like BBT, Cervical Mucus test. If you are ovulating with these medicines, and still not able to become pregnant in 3-4 months time, then you should go for further tests for tubal patency test, uterine factors, immunological factors, and so on. For infertility, you must go step wise approach and proper follow up. You should be knowledgeable about the management you are going through, and talk to the Doctor frankly. One positive point, i would like to tell you is that, it is easy to treat infertility if it is due to ovulation dysfunction. Best of luck. Best of luck."
"hi, i have a nephew of 12yrs who has typhoid and was seen through blood test and was given antibiotics and other medicines to use ,now its 8 days since under treatment. pls help if there is any homeremedies for nausea, vomiting and severe headache coz cant concentrate with studies.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi... I understand your concern. For headache and fever - Paracetamol can be given in the dose of 15\u00a0mg/kg/dose (maximum ceiling dose of 500\u00a0mg) every 4-6th hourly that too only if fever is more than 100F. I suggest not using combination medicines for fever, especially with Paracetamol. For nausea - Tablet Ondansetron 4\u00a0mg thrice a day 30 minutes before food. But Ondansetron is a prescription medicine, and you will need one for it. Regards -"
my son is 11 and we looked at his scalp tonight and the entire bottom part of it from the bottom of hairline to above his ears all the way across is covered in what looks like perfectly round redish orangish spots all in it like 100 or morelooks like i dont like at it often but did because of the ticks getting bad so dont know how long theyve been there or anything im really scared and worried can u help me please. He says they dont itch and he didnt know they were there,"If you are a doctor, please answer the medical questions based on the patient's description.","Howell come to ChatDoctorAllergic reaction may be likely atomic dermatitis may be possible this can be managed with following medicines 1) Beclomethasone with Aureomycin for local application, if this does not respond then clinical examination would be necessary, as matter of fact all the skin lesions demands clinical examination for diagnosis without this difficult to say anything it is kind of art of looking that gives all information about disease, have a nice day."
"Hi. I am 30 weeks, 4 days pregnant with my first child. A little girl we are naming Reese. I had an ultrasound done last Tuesday, and followed up on Friday. The doctor told me that the sonographer found a predominant left ventricle. She then said its not larger or protruding, it is only assymetrical, so she is referring us to a specialist. That appointment is not until November 3rd. She said everything was probably fine and not to worry. But naturally. as a first time mother and a pediatric occuoational therapist by trade, I am worried.","If you are a doctor, please answer the medical questions based on the patient's description.",Hello In fetus right ventricle is the prominent ventricle. An experienced fetal monologist or echocardiography can detect the defect. If left ventricle is enlarged it is an abnormal finding. Many a times' sonographer assessment is not accurate. Conditions like single ventricle or persistent trucks can cause dilated left ventricle. So I would suggest you to consult an expert for the proper evaluation. Regards
"I have what i describe a swollen nodule on the left side of my neck on top of muscle. It moves as nd is painful, the pain burns and radiates to my shoulder. My doctor checked my lymph nodes and said they were normal, thinks i strained my neck and shoulder. Sending me to chiropractor. Is that the right course of action?","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, It could be soft tissue swelling. You should not go to a chiropractor before making a diagnosis. You can go for an ultrasound to confirm the diagnosis. A fine needle biopsy may be required in case of diagnostic confusion. As of now you can use analgesics/anti-inflammatory combination like diclofenac/serratiopeptidase for symptomatic relief.  Hope I have answered your query. Let me know if I can assist you further."
"I Kusum 38 Indian -> Its being almost 2 years after marriage; due to doctor negligence i lost my left fallopian tube, the case was treated as ectopic pregnancy. Now its almost 10years I am not pregnant. IUI, polycystic, harmones level is being checked. But still no positive.  Request to help/guide me.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi Museum, From you history I gather that all your investigations are normal. Except for removal of left fallopian tube. Your other risk factor is age of 38 yrs. Tubal pregnancy is due to some sort of damage to inside of tube, may be infection or surgery etc. Usually if one tube is damaged by infection, other one also s at risk of damage, you never get cold in one nostril !! So no matter what you do, GUI or injections Sperm & egg may not be meeting at all. Keeping history of failed treatments, History of tubal damage & most important age of 38 yrs, I would advise you to try IVF. Once you reach 40 yrs, your ovaries will not have healthy eggs enough to have pregnancy. In IVF tube is not needed & pregnancy chances are high. It is costlier than other methods but has definitely higher pregnancy chances. Hope I have clarified your overall the best Chat Doctor."
"Hello,I had renal cell carcinoma and had a partial nephrectomy om 05/29/2013. After 4 weeks I noticed a swelling which has subsequently got to the size of my hand and gets bigger by night. It throbs intermittently a few times an hour. My incision itself looks good. I have a lot of pressure (new) on my bladder. It feels like when I was pregnant and the babys head was going down into the birth canal. I have backache like pyelonephritis on and off, and I have heat running through my body, sweating on the back of my neck yest cold and clammy on my forehead. Yet no high temp on the thermometer.  I am so uncomfortable that I can only manage to be out and about for a couple of hours at a time. Im normally a workaholic but cant bear the thought of going to work as a nurse.  I have had 5 previous abdominal surgeries prior to this.  What can all this mean?","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thanks for the query to Chat Doctor. Forum. Swelling is there about the size of hand, but where it is ? 2nd swelling is there at the hand ? So please exact the site where swelling developed. Also write down the type of cancer (benign or malignant) in kidney (squamous or columnar or other type). Pain behind neck and in pelvic region may be due to metastasis ( from renal carcinoma). Also mention the type of surgery performed five times for evaluation of diagnosis. Cold, clammy forehead is not due to any particular disease, but due to tension (stress) through which going. Still I will advise you please consult an Oncologist and C T scan as well M R I are very important for you. Good luck."
"My ex-boyfriend went from hot to cold. he used to have a heart, but now he doesn t even care about his 4 year old son. he said that God told him that we are no good for him. just last week he said I love you to his son and he misses him. and yesterday he said his son and i are bad for him and to not call him anymore. i haven t spoken to him for a couple of days cause he told me not to call him. but i called yesterday because i needed someone to watch out son so i can take my daughter to the emergency due to chest pain. he said to not call him and no he was not going to come over to watch his own son. its like he has split personality. he went from a very sweet person to someone who is just plain rude within a week. oh yes, i think he is paranoid and schizophrenia. i know he smokes and does marijuana.","If you are a doctor, please answer the medical questions based on the patient's description.",Degree understand your concerns went through your details. I suggest you not to worry much. The details are not enough. I think your version of the details are not enough to have a proper diagnosis. He uses marijuana in itself is enough to create euphoria and mood swings and depression. There may not be any paranoid ideation or dual personality or schizophrenia. Talk to him over dinner about these happenings and you might get a clear answers. Maybe he is also troubled as you are and searching for answers about your behavior? Talk to him in peace. Hope this answers your query. Available for further clarifications. Good luck.
Hi. My mother is suffering from sever neck pain for a long time. As prescribed by doctor she has undergone an MRI cervical spine where the findings are as under,"If you are a doctor, please answer the medical questions based on the patient's description.","Hi Amiga, Thanks for writing your query. After reading your post, I would suggest that you should continue physiotherapy and traction as advice by your doctor. You can take painkiller like Ibuprofen twice a day after meals along with muscle relaxant chloraxazone along with an antacid. Doing hot fomentation and application of pain relieving gel on the neck will give some relief to the symptoms. Also, donor use a very thick pillow. I hope this is helpful to you. Thanks."
I have 3 painless moveable lumps beside my left knee cap. Started out as one but over the last two years it became three and now two are marble sized and one is oblong and about the size of a walnut. I also noticed that now below my Left knee there is a larger oblong area that protrudes noticeably...even more than on the Right leg. Very noticeable. No pain or tenderness. Is this a cause for concern or should I just keep an eye on it.,"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thank you for your query. I can understand your concerns. Painless movable lump around your left knee could be either Meniscal cyst or Sebaceous cyst or Bakers cyst. Meniscal cyst may result from trauma, hemorrhage, chronic infection, and mucoid degeneration. The most widely accepted theory describes meniscal cysts resulting from extrusion of synovial fluid through a peripherally extended horizontal meniscal tear, accumulating outside the joint capsule. They arise more commonly from the lateral joint margin, and occur most often in 20 to 40-year-old males. Sebaceous cysts originate from sebaceous glands in skin and contain sebum. Bakers cyst"
"Sometimes when I hear a certain noise, (its mostly the beep sound my toaster makes) I start feeling scared, paranoid or just like something bads gonna happen, sometimes the noise brings back the memory of when I had my first seizure and I feel like I do after a seizure. I have ADD, ADHD and epilepsy in case that has anything to do with it","If you are a doctor, please answer the medical questions based on the patient's description.","Degree understand your concerns went through your details. I think this is a new development for you. With anxiety disorders, such fear is common. Anxiety disorder patients slowly develop irritation towards noises and in due course the irritation makes them obsessive towards noises. Some specific noise irritation takes up center stage of the obsession, and they feel such noises. There is nothing to worry. This will be there for some months and slowly disappear. You will need Cognitive Therapy. Consult a psychologist. If you still need my assistance in this regard, please use this link. http"
I need to know what to do to help my husband he was gaven a Date rape drug by his Ex-girl friend and it has missed his mind up he now has a mental illness. and is now on Depakote Sprinkles and Respdial 3mg. here lately he has been getting very Anger screaming out at me and saying things that dont make any since. like talking about people that he has not seen in years and things that he thinks has happen which have not really happen. I dont know how to handle him anymore and need to know what to do to help.,"If you are a doctor, please answer the medical questions based on the patient's description.","Thank you for writing to Chat Doctor! From your question it looks that your husband has a psychotic illness, he is on separate sprinkles and risperidone 3 mg but still has auspiciousness and talks out of context. Dosage of separate is not mentioned.  From my clinical experience I can say that either the dosage of the medicine is low or maybe he is not taking it regularly. So, if you are sure of compliance, it will be very helpful to increase TH dose of risperidone to 4\u00a0mg - 6\u00a0mg in a day. Along with it, I have seen clonazepam 0.5-1 mg effective in case when patient is difficult to manage /gets very angry/unable to sleep, on as and when required basis. It is advisable to get sodium valproate levels done, to ensure that the sprinkles are providing adequate among of Chat Doctor. Please donor loose hope, it is not at all difficult to manage such cases, what is needed is dose adjustment and make sure he takes the medicine daily, and he will start behaving normally once again. You have said that your husband developed this illness after he was given date rape"
"Hi my 10 month baby has has a heavy cold for roughly 5 weeks with loose cough and a lot of green discharge from his nose continuously, so much so he has a red sore patch under his nose from wiping. Recently however he has had lots of blood in the discharge and it keeps blocking his nostril up? Can you give me any advice please?","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Your child is suffering from severe bacterial infection. He needs antibiotic, start syrup Augmenting thrice a day 5 days with syrup Hardin D half teaspoonful (SF) thrice a day 5 days plus Cal pol syrup half SF thrice a day. Give him steam inhalation, syrup Phylicia for cough and go to see a Doctor, his chest must be listened and throat must be examined. Hope I have answered your query. Let me know if I can assist you further."
"I am a 37 year old female. This morning I started with a chest pain on the upper left side. It is a constant hurt but more intense when I move, talk till give out of breath, bending over, turning head to left or right. This has been going on for several hours now. What could it be?","If you are a doctor, please answer the medical questions based on the patient's description.","Thanks for your question on Chat Doctor. I can understand your situation and problem. In my opinion, your upper left sided chest pain is mostly due to muscular cause but better to rule out cardiac cause first. So get done 1. ECG 2. 2d echo. If both are normal then no need to worry about cardiac cause. Muscular pain appears more in your case. So try to follow these steps for better symptomatic relief. 1.  Avoid heavyweight lifting. 2.  Avoid strenuous exercise. 3. Avoid bad postures in sleep.  Also avoid movements causing pain. 4. Start painkiller and muscle relaxant. 5. Apply warm water pad on affected site. Don't worry, you will be alright."
"Hello, my daughter was diognosed with frontal lobe shrinkage which affects the memory and behavior. I heard that this condition is unreversable. Is there a medication or treatment that can help to regulate her condition ? , and can this cause her to have dementia in the future ?","If you are a doctor, please answer the medical questions based on the patient's description.","Hello. I have been through your question and understand your concern. Frontal lobe atrophic or shrinkage is quite common after the sixth decade while less common before. It is generally a benign situation, but unfortunately it is progressive and there is no treatment to prevent or treat this condition. Generally this is associated with cognitive impairment but not always. You should have radiologic follow up to monitor this condition. Hope this helps. Best regards"
"Hi, My dad just foung out that he has brain tumour and suffering from cancerous malignant Glioblastoma , grade IV as per biopsy. Presently he is in Hyderabad with my family and medicated on radiation and chemotheraphy...we also started Ayurvedic Sarvapishti. plz advice.","If you are a doctor, please answer the medical questions based on the patient's description.","Hello and welcome to Chat Doctor , any type of cancer depends on the spread of it to the body parts, age of a person, how much metastasis or spread it has and on which organs, how healthy is your dad now, what is his vitals -blood pressure pulse etc. and what is the progress of the disease would let you know the exact status of the patient, treatment is symptomatically and radiotherapy regularly, consult also radiologist for advice, take care"
"Hello, im a male 32 years of the age . Im facing some problem since 2009 after the death of my father . The problem is related to my sleep . Whenever i M falling asleep some weird things happens in my body .. Like choking and waking up , feeling of heat attack or vibrations starts in my body and then when i wake up and sit down it vanishes.. These things really doesn t allow me to go off to sleep but once i go off to sleep nothing bothers.. These episodes doesn t happen every time it happens mostly when im tensed or worried the entire day .. In 2012 i had some severe vibrations starting from my back and then every where including my head whenevr i try to fall asleep .. It lasted for 4 days..thn I visited a neurologist he gave me. Etizolam and revotril .. Asked me to take those med for 3 months but made me very slow and Sleepy that after a week i left them and fortunately i didnt experience any kind of trouble for a year .. On and off the episode happened after a year but not that often.. But now for past few months im constantly worrying about something and these things hs started again from last 8-10 days Whenever im falling asleep vibrations and twitching in my body starts and doesn t allow me to sleep .. I started etizolam .25 mg again for 3-4 days i didnt experience any thing but last nite i had the med around 1 and slept aroun 3 but couldn t sleep as i had some thoughts n my mind and then the vibrations started .. Please let me know the cure and is this any kind of disease im suffering from? Thank u","If you are a doctor, please answer the medical questions based on the patient's description.","Holloway you are describing seem to be panic attacks that feel like bouts of anxiety, palpitation, breathlessness and a fear that something bad is going to happen. The anticipation of these attacks causes further anxiety. If these attacks are very distressing I would advise you to start a SSRI preferably Paroxetine (Part CR 12.5 mg) at bedtime and continue it for at least 6 months. It can be increased further with a psychiatrist advice.  You should not take Mizoram unsupervised for so long. Also get one ECG and TSH done to rule out any other physical cause of anxiety. Hope your query is satisfied."
"I had fever from 2nd feb,2014 then I examined with doctor and found typhoid.now I am fine and no fever came for 5 days still I am using azithromycin(500) daily anf cefixime(400) twice a day.1)how long should I take this medicine.2) can I take Ato Z tablet as nutrient tablet.3)can I eat fish/chicken etc.","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Welcome to Chat Doctor, I have gone through your history and understand your concern.1. Usually antibiotics is advised for a minimum of 7 days2. You can take this Vitamin B complex, as it will replenish your nutrition3. You need to avoid high protein diet, as the metabolism of the protein occurs in the liver. The liver should not be over burden for at least 20 days. Even though fish has PUFF and MFA, the fried items should be avoided. Thank you."
"Hi, may I answer your health queries right now ?  Please type your query here...my daughter amputated the tip of her finger last night and I want to advise her how to care for it. It bled pretty heavily at first but that has not been a continued problem. I want to advise her how to care for it so she will not get an infection.","If you are a doctor, please answer the medical questions based on the patient's description.","HI, thanks for using Chat Doctor She should initially keep the area covered to reduce contact with contaminants that would cause infection. The area should be cleaned with an antiseptic solution and topical antibiotics applied. She may need to have it reviewed by her doctor at intervals to make sure that it is healing well. If there is any evidence of infection-redness, swelling, tenderness, increased warmth or pain, then she may need oral antibiotics. I hope this helps"
"Areas of skin on arms, shoulders, abdomen are intensely itchy before a bump appears. The bump appears to have a tiny hole in the center. The bump is symmetrical and round. When it is healing it appears to have an indention in the skin (like a little skin is missing). It may start to dry up and appear to heal, but then the itching starts again and the whole cycle repeats. Topical steroids are less effective for itch than triple antibiotic oint. I am desperate and have even switched from goats milk soap to pine tar soap. I have allergies/ asthma . I take allergy shots, but these areas are not hives . The only secretions that come from these bumps are blood (or clear fluid). If they ever do manage to heal, my skin is left scarred.","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, It does appear that you may have eczema, although they are not intensely itchy. I hope these have not happened after the allergy shots in which case you need to get the concentration and content of the shots (subcutaneous immunotherapy, I suppose) reviewed by your Allergist. Long-acting antihistamines are recommended as a trial in the first instance. If you wish to exclude a fungal infection, a skin scraping needs to be taken and KOH preparation under Woods lamp will reveal this. However, this is unlikely. I was not sure what you meant with the soap, but soaps are not recommended in Chat Doctor."
"My husband is 57 years old, he suffers from hypertension but is on meds, I just took his bp and it shows 164/96, he got dizzy out of the blue about 2 hours ago and has been vomiting.... he will not go to the ER so now I m wondering what could be wrong.","If you are a doctor, please answer the medical questions based on the patient's description.","Hai, sudden rise of Blood Pressure can be due to any stressful event whether emotional or medical. However you are on Hypertension medication no need to worry. Kindly recheck Blood pressure after 20 to 30 mins in a rest with relaxed condition dizziness and vomiting can be also associated with anxiety or stress condition if there is no history of Heart attack and gastritis. After a rest for one to 2 hours if the symptoms persist kindly go to the emergency department. Regards Chat Doctor. S. Senthilnathan"
"HiDue to a sressful few months i have been masterbating 2 or 3 times a night. Over the past couple of nights i have felt a sensation of extra pressure in the glans and painful ejaculation. I am 32 and have not had sex, protected, for nearly three weeks. Is this something to be worried about?","If you are a doctor, please answer the medical questions based on the patient's description.","Good Day, and thank you for being with Chat Doctor ! I believe you may have strained your penis and testicles from over masturbation. This condition usually resolves in a few days to weeks with abstinence and rest. Just take it easy and there will be no permanent side effect due to over straining. I hope I have succeeded in providing the information you were looking for. Please feel free to write back to me for any further clarifications at"
"HI dr. my belly button peircing is really infected. Its been infected for about 3 weeks, ive tried like every treatment and nothing has helped.amoung with the infection im feeling tired, and sick all the time, i also have lost a good deal of weight, and i have had pain in my chest for a couple of months and some other symptoms.what does this mean? what should i do?","If you are a doctor, please answer the medical questions based on the patient's description.",Welcome at Chat Doctor I have gone through your query and being your physician I completely understand your health concerns. For how long you are suffering from it? Any other associated problem? Like diabetes or hypertension?  Which antibiotics you have used?  If it is not healing then there is need to check your blood sugar levels.  There is need to get the cultures of the swabs taken from the wound so that appropriate antibiotics can be prescribed.  There is need to get the chest x-ray to rule out any infection of the lungs.  Stay calm and meet your surgeon for proper clinical examination Meanwhile stay calm and use acetaminophen to relieve pain Get well soon Hope your query is adequately ad Chat Doctor.
"Hi went to my drs today as suspected I had high blood pressure and have being having palpatations. She gave me an echo which seemed ok, however is sending me for a chest xray, lots of blood tests and also have to wear a blood pressure monitor for 24 hours. Is this really necessary ? Wouldnt the echo have shown something if there really was a problem. I really hate doing these things unnecessarily.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, If you there are a suspicion of high blood pressure, then we perform ECG, echocardiography, some obligatory blood tests to rule out other organ problems which could cause high blood pressure. We measure blood pressure at the hospital, but in the majority of cases it is not enough, and we need to know how the patients blood pressure behaves during the day, to decide out strategy of patient management. So, in my opinion your doctor does everything correctly. Take fearsome back if you have any further questions"
"my wife is suffering with 102.3 F fever. having pain ,nausia and didnt take meal since 7 pm tonight. Is it viral fever or dengue? i ve given her paracetamole 500 two times but now also her temp is 102. should i give her 650 mg paracetamole bcoz last dose i vegiven her at 9 pm","If you are a doctor, please answer the medical questions based on the patient's description.","Dear Friend. Welcome to Chat Doctor. I am Chat Doctor. I understand your concern. This is difficult to comment without clinical and laboratory testing. However, dengue presents with fever, malaise, eye pains, bleeding manifestations. If you are having any bleeding from anywhere, then simply get tested. These days viral is on high, so if your fever doesn't subside on taking these medications, get following tests done"
"My 57 year old cousin was admitted to the hospital last week with congestive heart failure and was told only 20 percent of his heart was functioning. Turns out he has all kinds of blockages all over his body. They had to put in four stents including one in the coronary artery before they could do bypass surgery today. He needs three bypasses but they were only able to do two. Before surgery, he was told that they wanted to do more stents this week as soon as he recovered from the bypass surgery. What kind of prognosis do you think my cousin has?","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, After going through your medical query I understand your concern and I would like to tell you that 20% ejection fraction is very low to survive and patient admits with heart failure again and again. ICD device can help a bit if your cousin can make out for that surgery kindly consult with your cardiologist regarding this. Hope I have answered your query. Let me know if I can assist you further."
"Hello.  Ive had a cold with a lot of congestion and, having asthma, Ive had a LOT of coughing.  Now the back of my neck hurts on both the left and right side when I turn my head.  Im assuming this is from the cough and congestion but as the cold is getting better, the neck soreness is not going away.  Hot shower helps, as does massage, but Id like a bit of reassurance","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Dear,Thanks for your query to Chat Doctor. Dear I read facts of your query and reviewed it in context to your health issues submitted in your query. I understood your health concerns and feel Concerned about them. Based on the facts of your query the reply of your query is-Your current health issues seem to be due to -the Cold aggravating your asthma with accompanied bronchitis. This would create more problems like the one -straining of neck muscles and chest muscles from repeated coughing and asthma causing dyspnea. The neck soreness is thus from strained neck and with accompanied? Viral Myalgic, which would recover with time and treatment of Asthma by -Antibiotics/ Bronchodilators/ Plenty of fluids and proper bronchial Chat Doctor. This is therefore more alarming condition and situation needs to be dealt by urgent Consultation with Chest Physician for ruling out TB / and other causes for this. The fact that hot showers and massage helps in relieving is more rewarding as this Myositis from Strain would resolve with Pain killers and NSAIDs supplements for few days timeTherefore Cause of these complaints in your case needs to be investigated by Chest X-ray and by blood tests and if need be by CT Chest. Other causes need to be verified, as discussed above. For this you need to consult Chest Physician. Dos in your case-Check With Doctors as suggested above-Rest and Fluids in plenty with Bronchial Care. You need to Urgently plan Corrective Antibiotics and other care, as your case is a bit complicated and seems to be neglected. Get physical check with Chest Physician who would do needful Chest X-ray and other investigations. There are many causes which need to be verified amongst the causes discussed above before planning specific investigations and remedies. High protein / high Calories diet to built up body. Vit B12 and Folic Acid- to stabilize the body and bronchial stress.Thus, You should consult Chest Physician. This would resolve the complaints of yours. Constant follow-up with local family or specialist Chest Physician for long term would give you long remissions of sucChatDoctorplaints in time to come, which would depend on meticulous follow-up treatment of your health concerns. Just don't worry and be patient and co-operate with your doctors, till you verify with your attending doctors. For early recovery-please follow above dos which would resolve your complex health issues. Hope this would help you to treat your health issues in the best way possible. Welcome for any further query in this regard to following link-http"
Hellow doctorMy baby is 3 months old n past few days she has been vomoting and loose motioning after every feedI took her to my pedtrcn he has given me medcation for loose motion and stop vomit that has actually worked but fot the loose motion it still doesnt stop,"If you are a doctor, please answer the medical questions based on the patient's description.","As you have said your baby has diarrhea and vomiting, first the number of episodes of loose motions is very, very important factor in case of child Chat Doctor.  You can give him syrup nor-metrogyl or syrup O2 2.5 ml twice daily for diarrhea along with syrup vomiting or syrup ondansetron 2.5 ml twice daily for vomiting with some probiotic like sporadic sachet one at least twice daily. Last but not the least, don't stop to breastfed her continue it as many times as your baby wants."
Hello I keep getting lower backache an cramps have started in my stomach about belly button level an they shoot down to my pelvis area I feel extreme pressure on the arch of my back which feels like it spreads upwards an just lately when I urinate they become more painful allso I cant pass wind as it puts toi much pressure on tge front of my stomach do you know what could be causing this please thankyou for your time.,"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, thanks for posting your query to Chat Doctor. C. During urination if pain is there, it might due to urinary tract infection (UTI). Stomach pain is also, but it may happen a rifer pain from U T I. Desire of defecation usually associated with U T I. So consult a doctor and get in U/S of whole abdomen to rule out any disease in effected area. Urine and blood examination will also highlight the disease. Good luck"
my mother in law aged 67 has been diagnosed with stage 4 bladder cancer. Both kidneys are affected alongside uterus and cervix. Drs are saying she is not fit for chemo due to other health probs. most of her children live abroad. How much time does she have left?,"If you are a doctor, please answer the medical questions based on the patient's description.","Hello and welcome to Chat Doctor, Stage 4 cancer is an advanced stage of cancer wherein there is involvement of surrounding as well as distant sites. Treatment in stage 4 is only symptomatic and there is no definitive treatment. The survival time in stage 4 bladder cancer is dismal, however, no exact time period can be determined. It may vary from few weeks to few months. Thanks and take care Chat Doctor."
"hi  my wife was pregnant (2-1/2 month )  and  gone through missed abortion ,In the  test mayobacterium  TB  cells are  found in the endometris? Dr advise her  to take  ATK-4 , LIV 52 DS, Bendom 40mg? Is this diesease is infectious and  we are  getting the  right  treatement ?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi I did review your concern,AKT-4 is a treatment for tuberculosis, and it is a multi Chat Doctor.  The most important thing is to remain compliant with treatment for 6-9 months whatever is the stipulated time by doctor. Also, she might experience red urine which should not worry as it is due to vitamin metabolite. Also, whenever she experiences jaundice or skin rash consult a doctor. Bendom is a good cotreatment as vitamin B6 is deficient in these patients due to isoniazid. LiV52 is optional. I hope this helped me know if you have any more questions or concerns and I will try to help you with best of my abilities. Wish you all the best sincerely,"
Have been trying to fall pregnant for the past 10 months with no success. We have a 2 year old. My Dr prescribed Fertodim-50 and said I should take it on day 2 of my cycle for 5 days. My cycle is 25-28 days. I took it this month and started intercourse on the 9th day according to my Dr and fertility calculator. We had sex for 3 consecutive days. Should we have proceeded after the 3rd day and how exactly should I be taking the pill if I m not pregnant ?,"If you are a doctor, please answer the medical questions based on the patient's description.","Hallow Dear, Fatimid pills are the tablets of Camphene citrate. I would have appreciated had you taken some more scientific steps as described below"
"My father is suffering from chest pain for last 1 week, he went to cardioligst in my home down and he done x-ray, ecg and all necessary tests. he said the heart function is normal and it is normal pain. He has given medicines for 1 month. but still my father is finding pain in his left chest","If you are a doctor, please answer the medical questions based on the patient's description.","Hi thanks for asking question. Usually with chest pain we think about ischemic heart disease, and we do ECG for it. Your ECG is normal so HD chance are less. Second this could be because of musculoskeletal pain. Heavy exercise, heavyweight lift or improper bed posture can be the cause. Simple analgesic and hot compress helpful for that. Prolong acid reflux also lead to such pain. Omeprazole taken for it. Here you have symptoms since 1 month so better to rule out respiratory cause by doing chest x-ray if coughed, fever also present. Take enough rest. I hope my suggestion will help you"
A few days ago I noticed a small red bump on the top of my left foot that itched a little. It grew in size and a few days later I had a few more bumps on my left foot and on my fingers. Also a few on my right calf. The ones that I scratched weep a clear fluid when I rub them with an alcohol wipe. Those I don t scratch are a hard looking people that only itch if I rub them. I recently started using Cortizone Cream.Is this poison ivy or what?,"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thank you for your contact to Chat Doctor. I understand your health concern, if I am your doctor I suggest you that hard bump without fluids are not related to ivy poison and those coming out with clear fluid is related to poison ivy. For hard bump cortisone is not right cream. You should consult doctor and take appropriate treatment for it. Because visual examinations will only help in proper treatment. I will be happy to answer all your future concern. Thank you, ChatDoctorInfectious disease specialist. Wish you the best health at Chat Doctor."
